City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mata-utu,-13.2816,-176.1745,29.22,77,96,5.02,WF,1714947497
83,dudinka,69.4058,86.1778,-12.96,88,52,4.47,RU,1714947497
84,soalkuchi,26.1681,91.5711,20.69,85,81,3.34,IN,1714947498
85,nykarleby,63.5228,22.5307,1.12,67,4,3.26,FI,1714947498
86,klyuchi,52.2667,79.1667,6.64,69,100,4.57,RU,1714947498
87,kristiansund,63.1115,7.732,9.03,76,20,1.54,NO,1714947498
88,margaret river,-33.95,115.0667,15.5,82,66,3.8,AU,1714947498
89,puerto ayora,-0.7393,-90.3518,27.98,93,80,2.24,EC,1714947499
90,mandalgovi,45.7625,106.2708,10.1,45,3,2.95,MN,1714947499
91,revelstoke,50.9832,-118.2023,20.4,41,98,1.23,CA,1714947499
92,atafu village,-8.5421,-172.5159,29.22,75,58,4.3,TK,1714947499
93,rongelap,11.1635,166.8941,27.49,79,82,7.95,MH,1714947499
94,tiksi,71.6872,128.8694,-5.46,91,99,1.4,RU,1714947500
95,petoskey,45.3733,-84.9553,18.17,68,0,3.13,US,1714947500
96,cill airne,52.05,-9.5167,8.17,96,91,1.66,IE,1714947500
97,kimbe,-5.5502,150.1429,25.97,92,100,1.32,PG,1714947500
98,bredasdorp,-34.5322,20.0403,13.62,65,85,1.74,ZA,1714947500
99,vorgashor,67.5833,63.95,-19.0,100,100,1.44,RU,1714947501
100,ust-tsilma,65.441,52.1498,-12.44,97,44,0.45,RU,1714947501
101,batie,9.8833,-2.9167,28.91,60,84,2.69,BF,1714947501
102,letterkenny,54.95,-7.7333,10.96,94,95,1.04,IE,1714947501
103,muana,-1.5283,-49.2167,25.48,94,99,2.02,BR,1714947501
104,vorkuta,67.5,64.0,-18.83,100,100,1.79,RU,1714947502
105,biltine,14.5333,20.9167,31.8,11,0,3.55,TD,1714947502
106,carutapera,-1.195,-46.02,25.7,90,100,3.97,BR,1714947502
107,kirensk,57.7853,108.1119,7.2,93,95,1.34,RU,1714947502
108,la ronge,55.1001,-105.2842,9.86,47,98,3.22,CA,1714947502
109,shihezi,44.3,86.0333,22.51,21,81,4.39,CN,1714947502
110,invercargill,-46.4,168.35,7.23,78,99,4.92,NZ,1714947503
111,bodo,67.28,14.405,6.08,65,0,7.72,NO,1714947503
112,saint-philippe,-21.3585,55.7679,20.77,73,62,4.17,RE,1714947503
113,ostersund,63.1792,14.6357,4.25,60,100,6.17,SE,1714947503
114,karoi,-16.8099,29.6925,15.91,69,0,1.76,ZW,1714947503
115,sumbawa besar,-8.5,117.4333,21.2,93,13,2.24,ID,1714947504
116,flying fish cove,-10.4217,105.6791,25.82,83,40,5.66,CX,1714947504
117,pattani,6.75,100.4167,27.5,95,100,0.55,TH,1714947504
118,fortuna,40.5982,-124.1573,14.96,68,100,5.66,US,1714947031
119,kazanskoye,55.6448,69.235,0.04,69,6,3.33,RU,1714947504
120,chebba,35.2372,11.115,18.98,67,39,6.21,TN,1714947505
121,formosa do rio preto,-11.0483,-45.1931,25.31,46,0,1.45,BR,1714947505
122,amble,55.3333,-1.5833,12.42,94,100,2.06,GB,1714947505
123,tura,25.5198,90.2201,18.88,94,21,1.56,IN,1714947505
124,saint-pierre,-21.3393,55.4781,20.82,64,0,3.09,RE,1714947505
125,labytnangi,66.6572,66.4183,-14.79,91,50,2.71,RU,1714947505
126,west island,-12.1568,96.8225,27.99,74,75,6.69,CC,1714947506
127,luwingu,-10.2621,29.9271,16.56,93,64,1.9,ZM,1714947506
